romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
			Valeria	Hello? Ayesha, are you listening?	瓦莱莉娅	……我说，爱夏你在听吗？	瓦萊莉婭	……我說愛夏，妳有在聽嗎？
Ayesha			Ayesha	Let's see... This herb is used to stop itching, right? And then this one is...	爱夏	"我想想，这个是用来做止痒药的药草吧……
然后这个是……"	愛夏	"唔～這是可以用來止癢的藥草吧……
然後這個是……"
Ayesha			Ayesha	And then I think the cough medicine for the old man at the stall uses this root...	爱夏	"摊贩爷爷的止咳药……
我记得应该可以用这种藤蔓的根……"	愛夏	"攤販老爺爺的止咳藥……
我記得應該能用這個藤蔓的根……"
			Valeria	Hellooo? Ugh, she can't hear me at all.	瓦莱莉娅	"我叫你呢。
……不行，根本没听进去。"	瓦萊莉婭	"我叫妳呢。
……不行，根本沒聽見。"
Ayesha			Ayesha	This fruit's kind of big. Let's see if I can even get it in the bag... Wait, where's my bag?!	爱夏	"这个果子有点大啊……
能装进袋子吗……袋子在……啊！"	愛夏	"這顆果實有點大呢……
放得進袋子嗎……呃，袋子……啊！"
Ayesha			Ayesha	Valeriaaa, help me! I can't find the bag I was going to use to put my materials in!	爱夏	"怎怎怎、怎么办啊，瓦莱莉娅？！
我忘带装素材的袋子了！"	愛夏	"怎怎怎、怎麼辦，瓦萊莉婭！？
我忘記帶裝素材的袋子了！"
			Valeria	It's right here. I've been trying to get your attention so I could give it to you.	瓦莱莉娅	"是这个吧，给你。
我刚才一直在叫你，就是想给你这个。"	瓦萊莉婭	"來，是這個吧。
我剛才就想拿給妳了。"
Ayesha			Ayesha	Oh, whoops. Sorry, I was too focused on my work.	爱夏	"咦，是这样吗。
对不起，我一专心就注意不到其他事……"	愛夏	"咦，是這樣嗎？
抱歉，我一專心起來就無法顧及其他事了……"
			Valeria	Too bad. You're not getting off the hook so easily.	瓦莱莉娅	不行，我不原谅你。	瓦萊莉婭	不行，我不原諒妳。
Ayesha			Ayesha	Whaaat?! I'm sorry! Please, I really am!	爱夏	哎哎！对不起、对不起！	愛夏	咦！？對不起、對不起！
			Valeria	Hehe, just kidding. How could I ever be mad at you when you're so cute?	瓦莱莉娅	呵呵。骗你的，因为可爱所以原谅啦。	瓦萊莉婭	呵呵，騙妳的，妳太可愛了，所以原諒妳。
Ayesha			Ayesha	Ugh, stop being so mean to me!	爱夏	真是的，不要捉弄我啦～	愛夏	真是的～不要捉弄我啦～
			Valeria	Hahaha... Huh? Ayesha, get down!	瓦莱莉娅	"啊哈哈……嗯？
爱夏，快趴下！！"	瓦萊莉婭	"哈哈……嗯？
愛夏，快趴下！！"
Ayesha			Ayesha	What?	爱夏	咦……	愛夏	咦……
			Valeria	Hmph, seems like that was the only one. Ayesha, are you all right?	瓦莱莉娅	"……呼，好像只有一只。
爱夏，你没事吧？"	瓦萊莉婭	"……呼，好像只有一隻。
愛夏，妳沒事吧？"
Ayesha			Ayesha	Um, yeah, I'm fine.	爱夏	嗯、嗯，我没事。	愛夏	是、是的，我沒事。
Ayesha			Ayesha	I really need to pay more attention to my surroundings. I'm sorry, Valeria.	爱夏	"我好像疏忽大意了……
瓦莱莉娅，真的很对不起。"	愛夏	"我好像太鬆懈了……
真的很抱歉，瓦萊莉婭。"
			Valeria	Not a chance. I'm not letting this one slide.	瓦莱莉娅	不行，这次真的不原谅了。	瓦萊莉婭	不行，這次我可不原諒妳了。
			Valeria	...But I might reconsider if you make some ointment for when you or someone else gets hurt.	瓦莱莉娅	"……所以，下次你就提前做点伤药吧。
以备你自己或其他人受伤时用。"	瓦萊莉婭	"……所以，下次就幫我做點傷藥吧。
妳或其他人受傷的時候就可以用了。"
Ayesha			Ayesha	I can do that! No problem at all!		"听了瓦莱莉娅出乎意料的话语，
爱夏先是吃惊，然后露出笑容点了点头。"		"聽到瓦萊莉婭令人意外的一番話，
愛夏吃了一驚，隨後展露笑容點了點頭。"
Ayesha					爱夏	我明白了！当然没问题，小事一桩。	愛夏	好的！當然沒問題，小事一樁。
