romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Resna	レスナ	"くうっ……
ダメ、ぜんぜん歯が立たない……！"	Resna	Urk... It's no use. We don't stand a chance!	蕾斯娜	"唔……
不行，完全敌不过……！"	蕾斯娜	"唔呃……
不行，完全敵不過他……！"
Tess	テス	"はあ、はあ……
こんなに強いなんて反則だよー！"	Tess	*Gasp* *Huff* No one should be this strong!	缇丝	"呼……呼……
强成这样也太不讲道理了！"	緹絲	"呼、呼……
竟然這麼強，根本就是犯規──！"
Roze	ロゼ	くそ、甘く見すぎたか……	Raze	Curses. We weren't ready...	罗杰	啧，小看它了……	羅傑	可惡，我們太小看他了嗎……
	魔王	"もう終わりか、つまらん。
ならば、このまま楽になるがいい――！"	Demon King	Finished so soon? A shame. Prepare to meet your end!	魔王	"就这么结束了吗，真无趣。
好，给你们一个解脱——！"	魔王	"已經結束了嗎？真無趣。
那麼，就這樣給你們一個痛快吧──！"
Lent	レント	"ちくしょう、
負けるわけには、いかねえってのに……！"	Lent	This can't be. We can't lose here!	兰托	该死，不能败在这里啊……！	蘭托	"可惡，
明明我們不能輸的……！"
Rorona	ロロナ	どうしよう、このままじゃ……	Rorona	What are we supposed to do?	萝乐娜	怎么办，再这么下去……	蘿樂娜	怎麼辦？再這樣下去……
Meruru	メルル	"まだ、魔力が足りてない……！
だけど、諦めちゃダメだよ！　みんな！"	Meruru	I don't have enough magic yet...! Don't give up, all of you!	梅露露	"魔力还不够……
但大家千万不能放弃啊！"	梅露露	"魔力還不夠……！
可是，不能放棄啊！各位！"
Resna	レスナ	メルル、姫……？	Resna	Lady Meruru?	蕾斯娜	梅露露……公主……？！	蕾斯娜	梅露露、公主……？
Meruru	メルル	"思い出して、ここまでの道のりを。
わたし、ずっと見守ってきたんだから！"	Meruru	Remember what you went through to get here! I've been watching over you this entire time!	梅露露	"你们一定都还记得旅途中的种种。
我可是看着你们一路走来的！"	梅露露	"回想起來吧，你們這一路是怎麼走來的。
因為我一直看在眼裡啊！"
Meruru	メルル	"どんなに辛いことがあったって、
みんなで力を合わせて乗り越えてきたでしょ？"	Meruru	No matter what obstacles you faced, you worked together to overcome them. Remember?	梅露露	"无论遇到怎样的难关，
大家都齐心协力跨越过来了不是吗？"	梅露露	"無論遭遇多麼困難的事，
大家都同心協力克服了對吧？"
Meruru	メルル	"今回だってそう！
きっと乗り越えられるはずだよ！"	Meruru	This, too! You can overcome this, together!	梅露露	"这次也一定可以！
你们一定能够赢过魔王！"	梅露露	"這次也一樣！
我們一定能夠克服的！"
Meruru	メルル	"それに、戦っているのは、
ここにいるわたしたちだけじゃないから――！"	Meruru	And we aren't the only ones in this fight!	梅露露	"而且正在战斗的，
并不是只有在场的我们——！"	梅露露	"而且，正在戰鬥的，
並不僅僅是在這裡的我們──！"
