romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Resna	レスナ	……そういえば、ユナさん	Resna	That reminds me, Juna...	蕾斯娜	……对了，尤娜小姐。	蕾斯娜	……對了，尤娜小姐。
Juna	ユナ	ん？　なんだろうか	Juna	Hm? What is it?	尤娜	嗯？有什么事？	尤娜	嗯？什麼事？
Resna	レスナ	"密林で魔物の子どもに遭遇した時
本当はかわいがりたいのを我慢してました？"	Resna	When we met that cute little monster in the jungle, were you holding yourself back from petting it?	蕾斯娜	"在密林遇到魔物幼崽的时候，
其实你很想摸摸它们，只是在努力克制吧？"	蕾斯娜	"在密林遇見魔物的孩子時，
妳是不是其實很想親近牠們，只是忍下來了？"
Juna	ユナ	うっ！　な、なぜ、それを！	Juna	Ah! H-How did you know?	尤娜	唔！你、你怎么会知道！	尤娜	嗚！妳、妳怎麼會知道這個！
Resna	レスナ	ユナさん、ずっと目で追ってましたから	Resna	You couldn't keep your eyes off it!	蕾斯娜	因为你一直盯着它们看嘛。	蕾斯娜	因為妳的視線一直追著牠們跑。
Resna	レスナ	"シュネール州の依頼の時もそうでしたけど……
やっぱりかわいいものがお好きなんですね！"	Resna	It was exactly the same as during our request in Schnell. You really love cute things, don't you!	蕾斯娜	"去施内尔州做委托的时候也是……
你就是很喜欢可爱的事物呢！"	蕾斯娜	"當時處理雪內爾州的委託時也是這樣……
妳果然很喜歡可愛的東西吧！"
Juna	ユナ	……他の者たちには言わないでくれ	Juna	Please, don't tell the others.	尤娜	……别告诉别人。	尤娜	……別告訴其他人。
Resna	レスナ	"みんなの前では我慢しなくても
いいんじゃないですか？"	Resna	You don't need to hide it, you know. The others won't mind!	蕾斯娜	我觉得你不需要在大家面前掩饰呀？	蕾斯娜	在大家面前不用忍耐也沒關係吧？
Juna	ユナ	"いや、たとえ仲間の前であっても、
白夜の騎士として隙を見せるわけにはいかない"	Juna	No. Even among my companions, a Knight of the Midnight Sun must never show weakness.	尤娜	"不，就算是在伙伴面前，
白夜骑士也不能松懈丝毫。"	尤娜	"不，身為白夜騎士，
就算是在夥伴面前，也不能露出破綻。"
Resna	レスナ	でも……	Resna	But...	蕾斯娜	可是……	蕾斯娜	可是……
Juna	ユナ	"う……私は外で待っている。
薬ができたら教えてくれ"	Juna	I-I'll be waiting outside. Let me know when the repellent is ready.	尤娜	"唔……我在外面等着，
等你做好了药再叫我。"	尤娜	唔……我去外面等。藥做好了再告訴我。
Resna	レスナ	あ……ユナさん……	Resna	Oh, Juna...	蕾斯娜	啊……尤娜小姐……	蕾斯娜	啊……尤娜小姐……
Resna	レスナ	"（私たちの前では、ありのままのユナさんで
　いてくれたらいいのにな……）"	Resna	(I wish she would just be herself when she's with friends...)	蕾斯娜	"（希望尤娜小姐在我们面前
　能展示真实的自我……）"	蕾斯娜	"（如果尤娜小姐能在我們面前
　展現最真實的模樣就好了……）"
Valeria	ヴァレリア	ユナとなに話してたの？	Valeria	What were you chatting with Juna about?	瓦莱莉娅	你跟尤娜说了什么啊？	瓦萊莉婭	妳跟尤娜說了什麼嗎？
Resna	レスナ	"ひゃあっ！？　ああ、ヴァレリア……
ううん、なんでもないよ"	Resna	Eep! Ah, Valeria! Nothing at all!	蕾斯娜	"呀？！啊，瓦莱莉娅……
没有啦，我们没说什么。"	蕾斯娜	"呀啊！？啊，瓦萊莉婭……
不，沒什麼。"
Valeria	ヴァレリア	もしかして、ユナがかわいいものが好きって話？	Valeria	Something about Juna liking cute things?	瓦莱莉娅	是在说尤娜喜欢可爱的东西？	瓦萊莉婭	該不會是在說尤娜喜歡可愛東西的事？
Resna	レスナ	う、聞こえてたんだ……	Resna	Oh, you overheard us...	蕾斯娜	唔，你听见了啊……	蕾斯娜	唔，妳聽見了啊……
Valeria	ヴァレリア	え、聞いたらまずかった？	Valeria	Was I not supposed to?	瓦莱莉娅	咦？不能听吗？	瓦萊莉婭	咦，不能聽見嗎？
Resna	レスナ	ええっと……まあ、本人は秘密にしたいみたい	Resna	Um, well... She said she wanted to keep it a secret.	蕾斯娜	唔……她本人似乎是想保密的。	蕾斯娜	呃……嗯，因為她想保密的樣子。
Valeria	ヴァレリア	"ふうん。確かに意外ではあるけど、
別に隠すほどのことじゃないわよね？"	Valeria	Hmm. I get that it's a little unexpected for her, but I don't see the point in hiding it.	瓦莱莉娅	"这样啊，确实挺出人意料的，
不过我觉得没必要保密吧？"	瓦萊莉婭	"哦～雖然確實挺意外的，
但這也不是需要特別隱瞞的事吧？"
Resna	レスナ	"私もそう思う。
でも、白夜の騎士なりの葛藤もあるのかなって……"	Resna	I agree...but I suppose that's just one of the challenges of being a Knight of the Midnight Sun.	蕾斯娜	"我也这么想。
但是白夜骑士会有他们自己在意的事吧……"	蕾斯娜	"我也這麼覺得。
不過，我想她也有身為白夜騎士的掙扎吧……"
Valeria	ヴァレリア	そっか。ユナも色々悩んでるのね	Valeria	Huh. So even Juna has her own struggles.	瓦莱莉娅	这样啊，尤娜也有自己的烦恼呢。	瓦萊莉婭	這樣啊，看來尤娜也有很多煩惱。
