romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Lydie	リディー	はぁ、はぁ……やったね、スーちゃん！	Lydie	*Huff* *Huff* Sue, we did it!	莉迪	呼、呼……太好了，小苏！	莉迪	呼、呼……成功了呢，小蘇！
Suelle	スール	よっしゃぁぁぁ！　	Suelle	Yeeeah!　	苏瑞	太好啦！　	蘇瑞	太棒啦！　
Suelle	スール	"ありがとうございます、ヴァレリアさん！
すっごくかっこよかったです！"	Suelle	Thank you so much, Valeria! You looked so cool!	苏瑞	"谢谢你， 瓦莱莉娅小姐！
你战斗的样子特别帅气！"	蘇瑞	"謝謝妳，瓦萊莉婭小姐！
妳真是太帥氣了！"
Lydie	リディー	ヴァレリアさんのおかげで、無事に魔物を倒せました！	Lydie	Yeah! You made sure that we beat that monster without any trouble!	莉迪	多亏有瓦莱莉娅小姐在，我们顺利打倒了魔物！	莉迪	託瓦萊莉婭小姐的福，我們順利打倒魔物了！
Valeria	ヴァレリア	"ありがと。二人もかっこよかったわよ！
さあ、他の魔物が来る前にさっさと終わらせましょ"	Valeria	Aw, it was nothing. Besides, you guys were just as good! But, let's get going before any more trouble comes our way.	瓦莱莉娅	"多谢夸奖。你们也很帅气哦！
好了，赶在别的魔物过来之前快收集石头吧。"	瓦萊莉婭	"謝謝，妳們兩個也很帥氣喔！
我們得趕在其他魔物出現前完事才行。"
Lydie	リディー	これで、必要な分は揃ったかな！	Lydie	There! That should be plenty of stones!	莉迪	这下应该够用了！	莉迪	如此一來，我們應該集滿所需數量了！
Valeria	ヴァレリア	素材、集め終わったのね！	Valeria	Great! We're all done gathering materials!	瓦莱莉娅	收集完素材了吧！	瓦萊莉婭	素材蒐集完畢了呢！
Suelle	スール	えへへ！　おかげさまで！　です！	Suelle	Ehehe! It was all thanks to you! For sure!	苏瑞	呵呵！这多亏了瓦莱莉娅小姐！	蘇瑞	嘿嘿！都是多虧了大家的協助！感謝！
Suelle	スール	……おっと。喜ぶのはもうちょっと後だった	Suelle	Wait, hang on. It's a little too early for celebrations.	苏瑞	……啊，现在高兴还早了一点。	蘇瑞	噢……現在開心還太早了。
Suelle	スール	"これからが本番だよ。
いよいよ調合だね、リディー"	Suelle	This is where things really start! It's time to get to synthesizing, Lydie!	苏瑞	"之后才是重头戏。
莉迪，终于要调合了啊。"	蘇瑞	"接下來才是重頭戲。
終於要開始調合了呢，莉迪。"
Lydie	リディー	うん。気を引き締めて頑張らなきゃ	Lydie	Yep. We've got to focus now and get to work!	莉迪	嗯，这个一定得聚精会神去做才行。	莉迪	嗯，得集中精神好好努力才行。
