romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Roman	ロマン	"（今日は、何をしようか……
　ん？　誰だろう、何か聞こえるな）"						
	貴族の男	"――ブラッドリーめ、大臣殿の補佐を
やめて錬金爵を選ぶとは何を考えている"						
Roman	ロマン	（あそこにいるのは、たしか貴族の……）						
	貴族の男	"今さら過去の技術を掘り出して何になる。
もっと現実的な視野を持つ男かと思った"						
Roman	ロマン	（錬金術も、まだまだ信頼されていない……おや？）						
Roman	ロマン	"やあブラッド。
どうしてそんなにしかめっ面なんだい？"						
Brad	ブラッド	"私は生まれつきこの顔だが？
……リヒャルトも今、聞こえていただろう"						
Brad	ブラッド	"廃れてしまった錬金術を認めない、信じないといった
意見が出てくるのは当然だ"						
Brad	ブラッド	"私は錬金爵として信用を得て、
そういった者たちを納得させなければいけない"						
Roman	ロマン	おぉ、それでこそブラッドリー・カーン						
Roman	ロマン	"そうだ！　せっかく錬金爵を授爵したんだ。
調合、してみないかい？"						
Roman	ロマン	"やあレスナ、イザナ、ヨハナ。
今日は私のわがままを聞いてくれてありがとう"						
Brad	ブラッド	お邪魔する						
Roman	ロマン	"せっかく錬金爵になったんだから、調合はしておくべき
だよ。君は血筋的に、素養は十分あるはず"						
Roman	ロマン	"そこでレスナたちにお願いして、
このアトリエを貸してもらったのさ！"						
Brad	ブラッド	貴様はいつもどこか強引というかなんというか……						
Roman	ロマン	ほらブラッド。ご存じ、実物の錬金釜さ						
Brad	ブラッド	"うむ。錬金爵を授爵するにあたり、錬金術関連の書物を
多く読み込んできたが、やはり近くで見る実物は違う"						
Roman	ロマン	そうだろうそうだろう						
Brad	ブラッド	"なぜリヒャルトが得意気なんだ……
ここはレスナのアトリエだろう"						
Roman	ロマン	"レスナたちの調合を近くで見てきたからね。
私のほうが錬金術の先輩ってわけさ"						
Roman	ロマン	"さあ、今日はレスナが用意してくれたこのレシピで
調合してみよう。手伝いは任せてくれたまえ"						
Brad	ブラッド	"さて、できるかどうか……
不思議と、自信はあるが"						
Roman	ロマン	"さすがだよブラッド！　いいものができたね。
初めてとは思えないと、レスナも感激していたよ"						
Brad	ブラッド	これが錬金術……こうも簡単にできるとは						
Roman	ロマン	"それは君の血筋だけじゃなく、
勤勉さもあってこそだろうね"						
Roman	ロマン	"ブラッド。貴族である君が錬金術を扱えるということ、
これはとても大きな進歩だよ"						
Roman	ロマン	"貴族たちの錬金術に対する理解を進めるためには、
貴族であり錬金爵である君の成功があってこそなんだ"						
Brad	ブラッド	"リヒャルト。貴様の計画には、
私の力が必要なようだな"						
Roman	ロマン	"ああ！　ブラッド、君の力が必要だ。
頼りにさせてもらうよ"						
Brad	ブラッド	錬金術……悪くないな						
Roman	ロマン	"（ブラッド、とても嬉しそうだ。彼が私の力と
　なるように、私は彼の力になれただろうか）"						
	貴族の男	錬金爵も錬金術も、怪しいものだ――						
Brad	ブラッド	私自身がか？						
